Position,"Track Name",Artist,Streams,URL
83,"Love Lies (with Normani)",Khalid,894372,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
84,"No Me Acuerdo",Thalía,887248,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
85,Unica,Ozuna,883361,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
86,"Por Perro","Sebastian Yatra",874023,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
87,"Mala Mía",Maluma,865994,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
88,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",863937,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
89,"Estamos Bien","Bad Bunny",863811,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
90,"I Fall Apart","Post Malone",856969,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
91,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,856865,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
92,"Everybody Dies In Their Nightmares",XXXTENTACION,850763,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
93,"Dura - Remix","Daddy Yankee",841315,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
94,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",841245,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
95,"High On Life (feat. Bonn)","Martin Garrix",840980,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
96,"Side Effects","The Chainsmokers",838891,https://open.spotify.com/track/5yNEdBlZMxpcVtGKz5NFk5
97,"STOP TRYING TO BE GOD","Travis Scott",837113,https://open.spotify.com/track/1xYpVRspgaLxdJLOTQkTjg
98,"La Cintura","Alvaro Soler",833790,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
99,"I'm Upset",Drake,832037,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
100,Calypso,"Luis Fonsi",829588,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
101,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",827948,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
102,"Madura (feat. Bad Bunny)",Cosculluela,824758,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
103,"Only You (with Little Mix)","Cheat Codes",824519,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
104,"you should see me in a crown","Billie Eilish",820111,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2
105,"Look At Me!",XXXTENTACION,816238,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
106,"CAN'T SAY","Travis Scott",810145,https://open.spotify.com/track/27a1mYSG5tYg7dmEjWBcmL
107,"XO TOUR Llif3","Lil Uzi Vert",801585,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
108,"Mi Cama - Remix","Karol G",796155,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
