Date & Time,Entry,Mode,Cost
2/23/19 4:34:08 PM,Tasker Morris Station - BSL,Subway,$2.00
2/25/19 7:53:19 AM,Girard Station - MFL,Subway,$2.00
2/25/19 3:07:48 PM,3rd St & Market St,Bus,$2.00
2/26/2019 10:03:25 AM,Girard Station - MFL,Subway,$2.00
2/27/2019 11:46:59 AM,Girard Station - MFL,Subway,$2.00
2/27/19 4:10:34 PM,5th St Station - MFL,Subway,$2.00
3/1/2019 12:35:33 PM,Girard Station - MFL,Subway,$2.00
3/1/19 4:49:56 PM,2nd St Station - MFL,Subway,$2.00
3/1/19 5:44:45 PM,Delaware Av & Frankford Av,Bus,$1.00
3/2/19 3:22:39 PM,2nd St Station - MFL,Subway,$2.00
3/2/19 8:42:36 PM,11th St Station - MFL,Subway,$2.00
3/3/19 2:51:41 PM,Girard Station - MFL,Subway,$2.00
3/3/19 7:30:39 PM,5th St Station - MFL,Subway,$2.00
3/4/19 9:14:24 AM,Girard Station - MFL,Subway,$2.00
3/4/19 3:18:15 PM,5th St Station - MFL,Subway,$2.00
3/5/19 5:58:30 PM,Girard Station - MFL,Subway,$2.00
3/5/19 9:00:49 PM,13th St Station - MFL,Subway,$2.00
3/6/19 7:21:00 PM,Girard Av & Front St,Trolley,$2.00
3/7/19 8:41:47 AM,12th St & Noble St,Bus,$2.00
3/7/2019 10:07:20 AM,15th St Station - MFL,Subway,$1.00
3/7/19 1:45:10 PM,2nd St Station - MFL,Subway,$2.00
3/8/2019 10:21:44 AM,Girard Station - MFL,Subway,$2.00
3/8/19 1:52:43 PM,3rd St & Market St,Bus,$2.00
3/8/19 2:16:44 PM,3rd St & Spring Garden St,Bus,$2.00
3/8/19 9:11:32 PM,Girard Station - MFL,Subway,$2.00
3/9/19 1:43:32 PM,11th St Station - MFL,Subway,$2.00
3/9/19 3:15:50 PM,40th St Station - MFL,Subway,$2.00
3/9/19 7:05:56 PM,12th St & Noble St,Bus,$2.00
3/9/19 7:16:48 PM,11th St Station - MFL,Subway,$1.00
3/11/19 8:50:08 AM,Girard Station - MFL,Subway,$2.00
3/11/19 4:18:37 PM,2nd St Station - MFL,Subway,$2.00
3/13/19 9:29:13 AM,Spring Garden St & 11th St,Bus,$2.00
