"year","loans","county_name","state_name"
"2008","970","Bibb County","Georgia"
"2008","33","Bienville Parish","Louisiana"
"2008","21","Big Horn County","Montana"
"2008","32","Big Horn County","Wyoming"
"2008","21","Big Stone County","Minnesota"
"2008","1","Billings County","North Dakota"
"2008","277","Bingham County","Idaho"
"2008","1720","Black Hawk County","Iowa"
"2008","53","Blackford County","Indiana"
"2008","93","Bladen County","North Carolina"
"2008","89","Blaine County","Idaho"
"2008","13","Blaine County","Montana"
"2008","1","Blaine County","Nebraska"
"2008","47","Blaine County","Oklahoma"
"2008","858","Blair County","Pennsylvania"
"2008","65","Blanco County","Texas"
"2008","25","Bland County","Virginia"
"2008","38","Bleckley County","Georgia"
"2008","52","Bledsoe County","Tennessee"
"2008","393","Blount County","Alabama"
"2008","1110","Blount County","Tennessee"
"2008","452","Blue Earth County","Minnesota"
"2008","54","Boise County","Idaho"
"2008","168","Bolivar County","Mississippi"
"2008","30","Bollinger County","Missouri"
"2008","44","Bon Homme County","South Dakota"
"2008","135","Bond County","Illinois"
"2008","237","Bonner County","Idaho"
"2008","1338","Bonneville County","Idaho"
"2008","311","Boone County","Arkansas"
"2008","421","Boone County","Illinois"
"2008","818","Boone County","Indiana"
"2008","178","Boone County","Iowa"
"2008","1521","Boone County","Kentucky"
"2008","1773","Boone County","Missouri"
"2008","15","Boone County","Nebraska"
"2008","94","Boone County","West Virginia"
"2008","3","Borden County","Texas"
"2008","83","Bosque County","Texas"
"2008","1391","Bossier Parish","Louisiana"
"2008","292","Botetourt County","Virginia"
"2008","41","Bottineau County","North Dakota"
"2008","3373","Boulder County","Colorado"
"2008","46","Boundary County","Idaho"
"2008","82","Bourbon County","Kansas"
"2008","107","Bourbon County","Kentucky"
"2008","694","Bowie County","Texas"
"2008","18","Bowman County","North Dakota"
"2008","87","Box Butte County","Nebraska"
"2008","549","Box Elder County","Utah"
"2008","413","Boyd County","Kentucky"
"2008","175","Boyle County","Kentucky"
"2008","40","Bracken County","Kentucky"
"2008","80","Bradford County","Florida"
"2008","204","Bradford County","Pennsylvania"
"2008","26","Bradley County","Arkansas"
"2008","795","Bradley County","Tennessee"
"2008","221","Branch County","Michigan"
"2008","31","Brantley County","Georgia"
"2008","32","Braxton County","West Virginia"
"2008","3668","Brazoria County","Texas"
"2008","1726","Brazos County","Texas"
"2008","10","Breathitt County","Kentucky"
"2008","74","Breckinridge County","Kentucky"
"2008","355","Bremer County","Iowa"
"2008","4611","Brevard County","Florida"
"2008","55","Brewster County","Texas"
"2008","2","Briscoe County","Texas"
"2008","3","Bristol Bay Borough","Alaska"
"2008","3687","Bristol County","Massachusetts"
"2008","357","Bristol County","Rhode Island"
"2008","148","Bristol city","Virginia"
"2008","23","Broadwater County","Montana"
"2008","2687","Bronx County","New York"
"2008","145","Brooke County","West Virginia"
"2008","311","Brookings County","South Dakota"
"2008","63","Brooks County","Georgia"
"2008","4","Brooks County","Texas"
"2008","1438","Broome County","New York"
"2008","948","Broomfield County","Colorado"
"2008","10968","Broward County","Florida"
"2008","5","Brown County","Illinois"
"2008","101","Brown County","Indiana"
"2008","56","Brown County","Kansas"
"2008","165","Brown County","Minnesota"
"2008","12","Brown County","Nebraska"
"2008","201","Brown County","Ohio"
"2008","382","Brown County","South Dakota"
"2008","191","Brown County","Texas"
"2008","2190","Brown County","Wisconsin"
"2008","35","Brule County","South Dakota"
"2008","1126","Brunswick County","North Carolina"
"2008","43","Brunswick County","Virginia"
"2008","515","Bryan County","Georgia"
"2008","312","Bryan County","Oklahoma"
"2008","197","Buchanan County","Iowa"
"2008","699","Buchanan County","Missouri"
"2008","67","Buchanan County","Virginia"
"2008","28","Buckingham County","Virginia"
"2008","5587","Bucks County","Pennsylvania"
"2008","150","Buena Vista County","Iowa"
"2008","46","Buena Vista city","Virginia"
"2008","306","Buffalo County","Nebraska"
"2008","4","Buffalo County","South Dakota"
"2008","37","Buffalo County","Wisconsin"
"2008","691","Bullitt County","Kentucky"
"2008","287","Bulloch County","Georgia"
"2008","16","Bullock County","Alabama"
"2008","2022","Buncombe County","North Carolina"
"2008","231","Bureau County","Illinois"
"2008","66","Burke County","Georgia"
"2008","493","Burke County","North Carolina"
"2008","7","Burke County","North Dakota"
"2008","1084","Burleigh County","North Dakota"
"2008","73","Burleson County","Texas"
"2008","4079","Burlington County","New Jersey"
"2008","315","Burnet County","Texas"
"2008","58","Burnett County","Wisconsin"
"2008","60","Burt County","Nebraska"
"2008","55","Butler County","Alabama"
"2008","173","Butler County","Iowa"
"2008","917","Butler County","Kansas"
"2008","31","Butler County","Kentucky"
"2008","218","Butler County","Missouri"
"2008","48","Butler County","Nebraska"
"2008","3157","Butler County","Ohio"
"2008","1833","Butler County","Pennsylvania"
"2008","1184","Butte County","California"
"2008","18","Butte County","Idaho"
"2008","103","Butte County","South Dakota"
"2008","168","Butts County","Georgia"
"2008","2287","Cabarrus County","North Carolina"
"2008","733","Cabell County","West Virginia"
"2008","481","Cabo Rojo Municipio","Puerto Rico"
"2008","1192","Cache County","Utah"
"2008","135","Caddo County","Oklahoma"
"2008","1986","Caddo Parish","Louisiana"
"2008","996","Caguas Municipio","Puerto Rico"
"2008","292","Calaveras County","California"
"2008","1593","Calcasieu Parish","Louisiana"
"2008","74","Caldwell County","Kentucky"
"2008","48","Caldwell County","Missouri"
"2008","552","Caldwell County","North Carolina"
"2008","126","Caldwell County","Texas"
"2008","22","Caldwell Parish","Louisiana"
"2008","119","Caledonia County","Vermont"
"2008","789","Calhoun County","Alabama"
"2008","14","Calhoun County","Arkansas"
"2008","33","Calhoun County","Florida"
"2008","10","Calhoun County","Georgia"
"2008","10","Calhoun County","Illinois"
"2008","34","Calhoun County","Iowa"
"2008","846","Calhoun County","Michigan"
"2008","46","Calhoun County","Mississippi"
"2008","33","Calhoun County","South Carolina"
"2008","134","Calhoun County","Texas"
"2008","8","Calhoun County","West Virginia"
"2008","96","Callahan County","Texas"
"2008","367","Callaway County","Missouri"
"2008","248","Calloway County","Kentucky"
"2008","471","Calumet County","Wisconsin"
"2008","727","Calvert County","Maryland"
"2008","1","Camas County","Idaho"
"2008","1029","Cambria County","Pennsylvania"
"2008","554","Camden County","Georgia"
"2008","245","Camden County","Missouri"
"2008","4000","Camden County","New Jersey"
"2008","94","Camden County","North Carolina"
"2008","22","Cameron County","Pennsylvania"
"2008","1592","Cameron County","Texas"
"2008","24","Cameron Parish","Louisiana"
"2008","80","Camp County","Texas"
"2008","899","Campbell County","Kentucky"
"2008","8","Campbell County","South Dakota"
"2008","216","Campbell County","Tennessee"
"2008","369","Campbell County","Virginia"
"2008","380","Campbell County","Wyoming"
"2008","212","Camuy Municipio","Puerto Rico"
"2008","1677","Canadian County","Oklahoma"
"2008","16","Candler County","Georgia"
"2008","114","Cannon County","Tennessee"
"2008","1765","Canyon County","Idaho"
"2008","383","Can�vanas Municipio","Puerto Rico"
"2008","527","Cape Girardeau County","Missouri"
"2008","619","Cape May County","New Jersey"
"2008","70","Carbon County","Montana"
"2008","530","Carbon County","Pennsylvania"
"2008","204","Carbon County","Utah"
"2008","171","Carbon County","Wyoming"
"2008","77","Caribou County","Idaho"
"2008","4","Carlisle County","Kentucky"
"2008","276","Carlton County","Minnesota"
"2008","1348","Carolina Municipio","Puerto Rico"
"2008","182","Caroline County","Maryland"
"2008","378","Caroline County","Virginia"
"2008","158","Carroll County","Arkansas"
"2008","926","Carroll County","Georgia"
"2008","49","Carroll County","Illinois"
"2008","178","Carroll County","Indiana"
"2008","130","Carroll County","Iowa"
"2008","36","Carroll County","Kentucky"
"2008","1278","Carroll County","Maryland"
"2008","16","Carroll County","Mississippi"
"2008","33","Carroll County","Missouri"
"2008","227","Carroll County","New Hampshire"
"2008","144","Carroll County","Ohio"
"2008","147","Carroll County","Tennessee"
"2008","96","Carroll County","Virginia"
"2008","279","Carson City","Nevada"
"2008","61","Carson County","Texas"
"2008","88","Carter County","Kentucky"
"2008","7","Carter County","Missouri"
"2008","1","Carter County","Montana"
"2008","360","Carter County","Oklahoma"
"2008","322","Carter County","Tennessee"
"2008","503","Carteret County","North Carolina"
"2008","1153","Carver County","Minnesota"
"2008","1003","Cascade County","Montana"
"2008","25","Casey County","Kentucky"
"2008","59","Cass County","Illinois"
"2008","222","Cass County","Indiana"
"2008","90","Cass County","Iowa"
"2008","288","Cass County","Michigan"
"2008","103","Cass County","Minnesota"
"2008","1121","Cass County","Missouri"
"2008","248","Cass County","Nebraska"
"2008","1828","Cass County","North Dakota"
"2008","141","Cass County","Texas"
"2008","85","Cassia County","Idaho"
"2008","21","Castro County","Texas"
"2008","94","Caswell County","North Carolina"
"2008","32","Catahoula Parish","Louisiana"
"2008","1221","Catawba County","North Carolina"
"2008","86","Catano Municipio","Puerto Rico"
"2008","581","Catoosa County","Georgia"
"2008","5","Catron County","New Mexico"
"2008","347","Cattaraugus County","New York"
"2008","22","Cavalier County","North Dakota"
"2008","191","Cayey Municipio","Puerto Rico"
"2008","462","Cayuga County","New York"
"2008","730","Cecil County","Maryland"
"2008","152","Cedar County","Iowa"
"2008","54","Cedar County","Missouri"
"2008","39","Cedar County","Nebraska"
"2008","76","Ceiba Municipio","Puerto Rico"
"2008","1133","Centre County","Pennsylvania"
"2008","349","Cerro Gordo County","Iowa"
"2008","91","Chaffee County","Colorado"
"2008","225","Chambers County","Alabama"
"2008","444","Chambers County","Texas"
"2008","1816","Champaign County","Illinois"
"2008","280","Champaign County","Ohio"
"2008","13","Chariton County","Missouri"
"2008","32","Charles City County","Virginia"
"2008","1508","Charles County","Maryland"
"2008","21","Charles Mix County","South Dakota"
"2008","3402","Charleston County","South Carolina"
"2008","88","Charlevoix County","Michigan"
"2008","972","Charlotte County","Florida"
"2008","29","Charlotte County","Virginia"
"2008","381","Charlottesville city","Virginia"
"2008","29","Charlton County","Georgia"
"2008","13","Chase County","Kansas"
"2008","17","Chase County","Nebraska"
"2008","2604","Chatham County","Georgia"
"2008","516","Chatham County","North Carolina"
"2008","7","Chattahoochee County","Georgia"
"2008","85","Chattooga County","Georgia"
"2008","6","Chautauqua County","Kansas"
"2008","668","Chautauqua County","New York"
"2008","446","Chaves County","New Mexico"
"2008","366","Cheatham County","Tennessee"
"2008","47","Cheboygan County","Michigan"
"2008","499","Chelan County","Washington"
"2008","631","Chemung County","New York"
"2008","201","Chenango County","New York"
"2008","81","Cherokee County","Alabama"
"2008","2554","Cherokee County","Georgia"
"2008","56","Cherokee County","Iowa"
"2008","94","Cherokee County","Kansas"
"2008","116","Cherokee County","North Carolina"
"2008","212","Cherokee County","Oklahoma"
"2008","215","Cherokee County","South Carolina"
"2008","234","Cherokee County","Texas"
"2008","35","Cherry County","Nebraska"
"2008","2487","Chesapeake city","Virginia"
"2008","489","Cheshire County","New Hampshire"
"2008","5492","Chester County","Pennsylvania"
"2008","130","Chester County","South Carolina"
"2008","141","Chester County","Tennessee"
"2008","157","Chesterfield County","South Carolina"
"2008","3937","Chesterfield County","Virginia"
"2008","9","Cheyenne County","Colorado"
"2008","11","Cheyenne County","Kansas"
"2008","68","Cheyenne County","Nebraska"
"2008","53","Chickasaw County","Iowa"
"2008","41","Chickasaw County","Mississippi"
"2008","21","Chicot County","Arkansas"
"2008","18","Childress County","Texas"
"2008","232","Chilton County","Alabama"
"2008","85","Chippewa County","Michigan"
"2008","61","Chippewa County","Minnesota"
"2008","539","Chippewa County","Wisconsin"
"2008","439","Chisago County","Minnesota"
"2008","1487","Chittenden County","Vermont"
"2008","34","Choctaw County","Alabama"
"2008","27","Choctaw County","Mississippi"
"2008","31","Choctaw County","Oklahoma"
"2008","13","Chouteau County","Montana"
"2008","68","Chowan County","North Carolina"
"2008","220","Christian County","Illinois"
"2008","446","Christian County","Kentucky"
"2008","1126","Christian County","Missouri"
"2008","146","Churchill County","Nevada"
"2008","31","Ciales Municipio","Puerto Rico"
"2008","62","Cibola County","New Mexico"
"2008","245","Cidra Municipio","Puerto Rico"
"2008","2","Cimarron County","Oklahoma"
"2008","927","Citrus County","Florida"
"2008","3067","Clackamas County","Oregon"
"2008","13","Claiborne County","Mississippi"
"2008","126","Claiborne County","Tennessee"
"2008","45","Claiborne Parish","Louisiana"
"2008","358","Clallam County","Washington"
"2008","117","Clare County","Michigan"
"2008","89","Clarendon County","South Carolina"
"2008","119","Clarion County","Pennsylvania"
"2008","121","Clark County","Arkansas"
"2008","3","Clark County","Idaho"
"2008","79","Clark County","Illinois"
"2008","1060","Clark County","Indiana"
"2008","10","Clark County","Kansas"
"2008","281","Clark County","Kentucky"
"2008","6","Clark County","Missouri"
"2008","24558","Clark County","Nevada"
"2008","1006","Clark County","Ohio"
"2008","25","Clark County","South Dakota"
"2008","3979","Clark County","Washington"
"2008","168","Clark County","Wisconsin"
"2008","95","Clarke County","Alabama"
"2008","782","Clarke County","Georgia"
"2008","52","Clarke County","Iowa"
"2008","70","Clarke County","Mississippi"
"2008","120","Clarke County","Virginia"
"2008","242","Clatsop County","Oregon"
"2008","34","Clay County","Alabama"
"2008","62","Clay County","Arkansas"
"2008","1652","Clay County","Florida"
"2008","2","Clay County","Georgia"
"2008","34","Clay County","Illinois"
"2008","203","Clay County","Indiana"
"2008","101","Clay County","Iowa"
"2008","49","Clay County","Kansas"
"2008","20","Clay County","Kentucky"
"2008","699","Clay County","Minnesota"
"2008","87","Clay County","Mississippi"
"2008","2957","Clay County","Missouri"
"2008","18","Clay County","Nebraska"
"2008","48","Clay County","North Carolina"
"2008","94","Clay County","South Dakota"
"2008","18","Clay County","Tennessee"
"2008","100","Clay County","Texas"
"2008","39","Clay County","West Virginia"
"2008","1906","Clayton County","Georgia"
"2008","61","Clayton County","Iowa"
"2008","96","Clear Creek County","Colorado"
"2008","366","Clearfield County","Pennsylvania"
"2008","46","Clearwater County","Idaho"
"2008","28","Clearwater County","Minnesota"
"2008","45","Cleburne County","Alabama"
"2008","151","Cleburne County","Arkansas"
"2008","1780","Clermont County","Ohio"
"2008","26","Cleveland County","Arkansas"
"2008","522","Cleveland County","North Carolina"
"2008","3465","Cleveland County","Oklahoma"
"2008","23","Clinch County","Georgia"
"2008","307","Clinton County","Illinois"
"2008","235","Clinton County","Indiana"
"2008","315","Clinton County","Iowa"
"2008","16","Clinton County","Kentucky"
"2008","575","Clinton County","Michigan"
"2008","176","Clinton County","Missouri"
"2008","391","Clinton County","New York"
"2008","222","Clinton County","Ohio"
"2008","224","Clinton County","Pennsylvania"
"2008","49","Cloud County","Kansas"
"2008","57","Coahoma County","Mississippi"
"2008","11","Coal County","Oklahoma"
"2008","466","Coamo Municipio","Puerto Rico"
"2008","7030","Cobb County","Georgia"
"2008","970","Cochise County","Arizona"
"2008","10","Cochran County","Texas"
"2008","87","Cocke County","Tennessee"
"2008","732","Coconino County","Arizona"
"2008","305","Codington County","South Dakota"
"2008","541","Coffee County","Alabama"
"2008","120","Coffee County","Georgia"
"2008","410","Coffee County","Tennessee"
"2008","49","Coffey County","Kansas"
"2008","15","Coke County","Texas"
"2008","447","Colbert County","Alabama"
"2008","832","Cole County","Missouri"
"2008","42","Coleman County","Texas"
"2008","348","Coles County","Illinois"
"2008","35","Colfax County","Nebraska"
"2008","46","Colfax County","New Mexico"
"2008","101","Colleton County","South Carolina"
"2008","1916","Collier County","Florida"
"2008","12188","Collin County","Texas"
"2008","12","Collingsworth County","Texas"
"2008","141","Colonial Heights city","Virginia"
"2008","53","Colorado County","Texas"
"2008","189","Colquitt County","Georgia"
"2008","90","Columbia County","Arkansas"
"2008","278","Columbia County","Florida"
"2008","1972","Columbia County","Georgia"
"2008","317","Columbia County","New York"
"2008","405","Columbia County","Oregon"
"2008","388","Columbia County","Pennsylvania"
"2008","21","Columbia County","Washington"
"2008","356","Columbia County","Wisconsin"
"2008","654","Columbiana County","Ohio"
"2008","134","Columbus County","North Carolina"
"2008","157","Colusa County","California"
"2008","1362","Comal County","Texas"
"2008","5","Comanche County","Kansas"
"2008","1278","Comanche County","Oklahoma"
"2008","31","Comanche County","Texas"
"2008","33","Comer�o Municipio","Puerto Rico"
"2008","3","Concho County","Texas"
"2008","73","Concordia Parish","Louisiana"
"2008","19","Conecuh County","Alabama"
"2008","13","Conejos County","Colorado"
"2008","11326","Contra Costa County","California"
"2008","110","Converse County","Wyoming"
"2008","111","Conway County","Arkansas"
"2008","64","Cook County","Georgia"
"2008","35627","Cook County","Illinois"
"2008","8","Cook County","Minnesota"
"2008","242","Cooke County","Texas"
"2008","123","Cooper County","Missouri"
"2008","131","Coos County","New Hampshire"
"2008","275","Coos County","Oregon"
"2008","22","Coosa County","Alabama"
"2008","79","Copiah County","Mississippi"
"2008","113","Corozal Municipio","Puerto Rico"
"2008","2","Corson County","South Dakota"
"2008","322","Cortland County","New York"
"2008","743","Coryell County","Texas"
"2008","137","Coshocton County","Ohio"
"2008","8","Costilla County","Colorado"
"2008","1","Cottle County","Texas"
"2008","26","Cotton County","Oklahoma"
"2008","38","Cottonwood County","Minnesota"
"2008","148","Covington County","Alabama"
"2008","66","Covington County","Mississippi"
"2008","29","Covington city","Virginia"
"2008","1515","Coweta County","Georgia"
"2008","253","Cowley County","Kansas"
"2008","727","Cowlitz County","Washington"
"2008","83","Craig County","Oklahoma"
"2008","29","Craig County","Virginia"
"2008","973","Craighead County","Arkansas"
"2008","32","Crane County","Texas"
"2008","1052","Craven County","North Carolina"
"2008","555","Crawford County","Arkansas"
"2008","41","Crawford County","Georgia"
"2008","73","Crawford County","Illinois"
"2008","40","Crawford County","Indiana"
"2008","69","Crawford County","Iowa"
"2008","235","Crawford County","Kansas"
"2008","42","Crawford County","Michigan"
"2008","131","Crawford County","Missouri"
"2008","181","Crawford County","Ohio"
"2008","401","Crawford County","Pennsylvania"
"2008","62","Crawford County","Wisconsin"
"2008","620","Creek County","Oklahoma"
"2008","30","Crenshaw County","Alabama"
"2008","72","Crisp County","Georgia"
"2008","397","Crittenden County","Arkansas"
"2008","19","Crittenden County","Kentucky"
"2008","83","Crockett County","Tennessee"
"2008","10","Crockett County","Texas"
"2008","148","Crook County","Oregon"
"2008","36","Crook County","Wyoming"
"2008","25","Crosby County","Texas"
"2008","127","Cross County","Arkansas"
"2008","324","Crow Wing County","Minnesota"
"2008","12","Crowley County","Colorado"
"2008","7","Culberson County","Texas"
"2008","402","Cullman County","Alabama"
"2008","501","Culpeper County","Virginia"
"2008","43","Cumberland County","Illinois"
