UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType,ProductOriginCountry_iso3n
ICID00031798,2018-03-12,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Port Health Authority (PHA),586
ICID00031799,2018-03-13,Mycotoxins,Nuts / Nut Products / Seeds,Argentina (AR),Border Inspection Posts (BIPs),32
ICID00031800,2018-03-13,Foreign Bodies,Cereals & Bakery Products,India (IN),Local Authority,356
ICID00031806,2018-03-13,Mycotoxins,Nuts / Nut Products / Seeds,Sudan (SD),Border Inspection Posts (BIPs),729
ICID00031808,2018-03-13,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),Belgium (BE),RASFF,56
ICID00031809,2018-03-13,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Border Inspection Posts (BIPs),214
ICID00031821,2018-03-12,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Port Health Authority (PHA),586
ICID00031822,2018-03-14,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs),586
ICID00031823,2018-03-14,Foreign Bodies,Meat & Meat Products (other than poultry),Belgium (BE),RASFF,56
ICID00031824,2018-03-15,Pathogenic Micro-Organisms,Cereals & Bakery Products,Austria (AT),Industry,40
ICID00031827,2018-03-14,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs),586
ICID00031832,2018-03-15,Food Additives & Flavourings,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),Border Inspection Posts (BIPs),840
ICID00031834,2018-03-15,Food Additives & Flavourings,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),Border Inspection Posts (BIPs),840
ICID00031837,2018-03-15,Pathogenic Micro-Organisms,Herbs & Spices,Vietnam (VN),Port Health Authority (PHA),704
ICID00031838,2018-03-15,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Austria (AT),RASFF,40
ICID00031839,2018-03-15,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),Ireland (IE),EU Member States,372
ICID00031840,2018-03-15,Allergens,Poultry Meat & Poultry Meat Products,Ireland (IE),EU Member States,372
ICID00031841,2018-03-15,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Hungary (HU),RASFF,348
ICID00031842,2018-03-15,Composition,Fruits & Vegetables,Italy (IT),RASFF,380
ICID00031843,2018-03-15,Allergens,Confectionery,Islamic Republic of Iran (IR),Local Authority,364
ICID00031849,2018-03-16,Labelling Absent / Incomplete / Incorrect,Confectionary,Turkey (TR),Local Authority,792
ICID00031850,2018-03-16,Labelling Absent / Incomplete / Incorrect,Ices & Desserts,Pakistan (PK),RASFF,586
ICID00031854,2018-03-15,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),Germany (DE),General Public,276
ICID00031855,2018-03-16,Allergens,Soups / Broths / Sauces & condiments,China (CN),Local Authority,156
ICID00031856,2018-03-17,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs),586
ICID00031858,2018-03-19,Allergens,Prepared Dishes & Snacks,Belgium (BE),Local Authority,56
ICID00031861,2018-03-19,Food Additives & Flavourings,Prepared Dishes & Snacks,Nigeria (NG),Port Health Authority (PHA),566
ICID00031863,2018-03-19,Pathogenic Micro-Organisms,Milk & Milk Products,Romania (RO),Local Authority,642
ICID00031866,2018-03-19,Pathogenic Micro-Organisms,Milk & Milk Products,Netherlands (NL),RASFF,528
ICID00031869,2018-03-20,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Chile (CL),Port Health Authority (PHA),152
ICID00031870,2018-03-20,Foreign Bodies,Poultry Meat & Poultry Meat Products,Poland (PL),Local Authority,616
ICID00031872,2018-03-20,Composition,Fruits & Vegetables,Croatia (HR),Administrative Assistance and Cooperation System (AAC),191
ICID00031876,2018-03-20,Clandestine Detection,Meat & Meat Products (other than poultry),Germany (DE),Border Inspection Posts (BIPs),276
ICID00031883,2018-03-21,Packaging Defective / Incorrect,Cocoa & cocoa preparations coffee & tea,Italy (IT),RASFF,380
ICID00031884,2018-03-22,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs),356
ICID00031885,2018-03-22,Food Additives & Flavourings,Milk & Milk Products,France (FR),Local Authority,250
ICID00031886,2018-03-22,Pathogenic Micro-Organisms,Cereals & Bakery Products,Austria (AT),Local Authority,40
ICID00031888,2018-03-21,Pathogenic Micro-Organisms,Feed Premixtures,Germany (DE),RASFF,276
ICID00031890,2018-03-21,Poor or Insufficient Controls,Food Additives & Flavourings,Turkey (TR),FSA Operations Group,792
ICID00031892,2018-03-15,Labelling Absent / Incomplete / Incorrect,Ices & Desserts,Pakistan (PK),RASFF,586
ICID00031894,2018-03-23,Composition,Confectionery,China (CN),Local Authority,156
ICID00031895,2018-03-23,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,China (CN),Local Authority,156
ICID00031896,2018-03-23,Allergens,Fruit & Vegetables,Philippines (PH),Industry,608
ICID00031897,2018-03-23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Netherlands (NL),RASFF,528
ICID00031898,2018-03-23,Composition,Meat & Meat Products (other than poultry),Belgium (BE),RASFF,56
ICID00031899,2018-03-23,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),RASFF,250
ICID00031904,2018-03-26,Pathogenic Micro-Organisms,Herbs & Spices,India (IN),RASFF,356
ICID00031905,2018-03-26,Pathogenic Micro-Organisms,Milk & Milk Products,Romania (RO),Local Authority,642
ICID00031906,2018-03-21,Allergens,Confectionary,China (CN),Local Authority,156
ICID00031909,2018-03-26,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs),586
ICID00031910,2018-03-26,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs),586
ICID00031915,2018-03-27,Poor or Insufficient Controls,Fish & Fish Products,Chile (CL),Border Inspection Posts (BIPs),152
ICID00031916,2018-03-27,Packaging Defective / Incorrect,Non-Alcoholic Beverages,Italy (IT),RASFF,380
ICID00031917,2018-03-27,Pathogenic Micro-Organisms,Pet Food,China (CN),Border Inspection Posts (BIPs),156
ICID00031918,2018-03-27,Foreign Bodies,Prepared Dishes & Snacks,China (CN),European Commission (EC),156
ICID00031920,2018-03-27,Clandestine Detection,Other Food Product / Mixed,Poland (PL),Home Office / Border Force,616
ICID00031923,2018-03-28,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs),356
ICID00031925,2018-03-28,Pathogenic Micro-Organisms,Milk & Milk Products,Poland (PL),Local Authority,616
ICID00031926,2018-03-28,Food Additives & Flavourings,Confectionery,United States (US),EU Member States,840
ICID00031927,2018-03-28,Allergens,Meat & Meat Products (other than poultry),Ireland (IE),Local Authority,372
ICID00031929,2018-03-28,Pathogenic Micro-Organisms,Milk & Milk Products,Netherlands (NL),Local Authority,528
ICID00031932,2018-03-29,Allergens,Fish & Fish Products,Denmark (DK),EU Member States,208
ICID00031933,2018-03-28,Allergens,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),Local Authority,840
ICID00031934,2018-03-28,Allergens,Dietetic Foods / Food Supplements / Fortified Foods,Canada (CA),Local Authority,124
ICID00031936,2018-03-29,Allergens,Prepared Dishes & Snacks,Belgium (BE),Industry,56
ICID00031937,2018-03-29,Composition,Soups / Broths / Sauces & condiments,Thailand (TH),Local Authority,764
ICID00031938,2018-03-29,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),Local Authority,840
ICID00031945,2018-03-30,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),RASFF,250
ICID00031946,2018-03-30,Chemical Contamination (other),Milk & Milk Products,France (FR),RASFF,250
ICID00031949,2018-03-30,Pathogenic Micro-Organisms,Fish & Fish Products,Vietnam (VN),RASFF,704
ICID00031960,2018-03-30,Mycotoxins,Nuts / Nut Products / Seeds,Netherlands (NL),RASFF,528
ICID00031962,2018-03-28,Allergens,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),Local Authority,840
