UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType,ProductOriginCountry_iso3n
ICID00031482,2018-01-23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),Port Health Authority (PHA),764
ICID00031486,2018-01-23,Pesticide Residues,Fruits & Vegetables,Turkey (TR),Port Health Authority (PHA),792
ICID00031487,2018-01-23,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Netherlands (NL),Administrative Assistance and Cooperation System (AAC),528
ICID00031489,2018-01-19,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Port Health Authority (PHA),586
ICID00031491,2018-01-22,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Port Health Authority (PHA),214
ICID00031492,2018-01-24,Migration,Food Contact Materials,China (CN),Border Inspection Posts (BIPs),156
ICID00031493,2018-01-23,Mycotoxins,Nuts / Nut Products / Seeds,Turkey (TR),Border Inspection Posts (BIPs),792
ICID00031494,2018-01-24,Pesticide Residues,Herbs & Spices,Turkey (TR),RASFF,792
ICID00031495,2018-01-24,Food Additives & Flavourings,Non-Alcoholic Beverages,Malaysia (MY),Local Authority,458
ICID00031499,2018-01-24,Poor or Insufficient Controls,Fruits & Vegetables,Turkey (TR),Port Health Authority (PHA),792
ICID00031500,2018-01-24,Mycotoxins,Nuts / Nut Products / Seeds,United States (US),Port Health Authority (PHA),840
ICID00031501,2018-01-25,Clandestine Detection,Milk & Milk Products,Poland (PL),Home Office / Border Force,616
ICID00031504,2018-01-23,Poor or Insufficient Controls,Milk & Milk Products,Poland (PL),Border Inspection Posts (BIPs),616
ICID00031505,2018-01-25,Mycotoxins,Nuts / Nut Products / Seeds,India (IN),Border Inspection Posts (BIPs),356
ICID00031508,2018-01-25,Pesticide Residues,Fruits & Vegetables,China (CN),EU Member States,156
ICID00031515,2018-01-09,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Border Inspection Posts (BIPs),214
ICID00031519,2018-01-27,Poor or Insufficient Controls,Crustaceans & Products Thereof,China (CN),Border Inspection Posts (BIPs),156
ICID00031520,2018-01-26,Foreign Bodies,Soup / Broths / Sauces & Condiments,China (CN),Industry,156
ICID00031522,2018-01-29,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Brazil (BR),European Commission (EC),76
ICID00031523,2018-01-30,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Brazil (BR),European Commission (EC),76
ICID00031524,2018-01-30,Foreign Bodies,Cereals & Bakery Products,Netherlands (NL),Local Authority,528
ICID00031528,2018-01-31,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Thailand (TH),European Commission (EC),764
ICID00031530,2018-01-31,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),Local Authority,764
ICID00031531,2018-01-31,Foreign Bodies,Feed Materials,Germany (DE),RASFF,276
ICID00031532,2018-01-31,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),Spain (ES),Local Authority,724
ICID00031534,2018-01-31,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,Turkey (TR),Border Inspection Posts (BIPs),792
ICID00031536,2018-01-31,Feed Additives,Feed Additives,United States (US),Industry,840
ICID00031167,2017-12-01,Clandestine Detection,Fruits & Vegetables,Netherlands (NL),Home Office / Border Force,528
ICID00031168,2017-12-01,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),New Zealand (NZ),Local Authority,554
ICID00031169,2017-12-01,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00031170,2017-12-01,Mycotoxins,Nuts / Nut Products / Seeds,United States (US),Border Inspection Posts (BIPs),840
ICID00031171,2017-12-01,Allergens,Prepared Dishes & Snacks,Vietnam (VN),Industry,704
ICID00031173,2017-12-01,Poor or Insufficient Controls,Confectionery,Poland (PL),Border Inspection Posts (BIPs),616
ICID00031174,2017-12-01,Foreign Bodies,Meat & Meat Products (other than poultry),Romania (RO),Industry,642
ICID00031175,2017-12-02,Poor or Insufficient Controls,Confectionery,Belgium (BE),Police,56
ICID00031176,2017-12-02,Poor or Insufficient Controls,Non-Alcoholic Beverages,Spain (ES),Border Inspection Posts (BIPs),724
ICID00031177,2017-12-03,Poor or Insufficient Controls,Fruits & Vegetables,Spain (ES),Border Inspection Posts (BIPs),724
ICID00031178,2017-12-01,Food Additives & Flavourings,Cereals & Bakery Products,Philippines (PH),RASFF,608
ICID00031179,2017-12-01,Foreign Bodies,Prepared Dishes & Snacks,Netherlands (NL),RASFF,528
ICID00031180,2017-12-04,Labelling Absent / Incomplete / Incorrect,Fruits & Vegetables,India (IN),Port Health Authority (PHA),356
ICID00031182,2017-12-04,Foreign Bodies,Confectionery,United States (US),Local Authority,840
ICID00031184,2017-12-04,Poor or Insufficient Controls,Fruits & Vegetables,Spain (ES),Border Inspection Posts (BIPs),724
ICID00031187,2017-12-04,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00031188,2017-12-05,Pesticide Residues,Fruits & Vegetables,China (CN),RASFF,156
ICID00031189,2017-12-01,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Port Health Authority (PHA),214
ICID00031190,2017-12-05,Allergens,Poultry Meat & Poultry Meat Products,Russian Federation (RU),Local Authority,643
ICID00031191,2017-12-05,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00031195,2017-12-05,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00031196,2017-12-05,Allergens,Poultry Meat & Poultry Meat Products,Brazil (BR),Industry,76
ICID00031200,2017-12-06,Poor or Insufficient Controls,Confectionery,Switzerland (CH),Police,756
ICID00031201,2017-12-06,Clandestine Detection,Confectionery,Germany (DE),Home Office / Border Force,276
ICID00031202,2017-12-06,Allergens,Meat & Meat Products (other than poultry),Ireland (IE),Industry,372
ICID00031205,2017-12-06,Poor or Insufficient Controls,Cereals & Bakery Products,France (FR),Border Inspection Posts (BIPs),250
ICID00031208,2017-12-06,Allergens,Meat & Meat Products (other than poultry),Brazil (BR),Local Authority,76
ICID00031212,2017-12-07,Clandestine Detection,Fruits & Vegetables,Italy (IT),Home Office / Border Force,380
ICID00031213,2017-12-06,Pathogenic Micro-Organisms,Fruits & Vegetables,Syrian Arab Republic (SY),Border Inspection Posts (BIPs),760
ICID00031216,2017-12-07,Clandestine Detection,Meat & Meat Products (other than poultry),Italy (IT),Home Office / Border Force,380
ICID00031222,2017-12-07,Labelling Absent / Incomplete / Incorrect,Confectionery,Pakistan (PK),General Public,586
ICID00031223,2017-12-08,Poor or Insufficient Controls,Milk & Milk Products,Germany (DE),Border Inspection Posts (BIPs),276
ICID00031224,2017-12-08,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Hungary (HU),RASFF,348
ICID00031226,2017-12-08,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00031229,2017-12-08,Chemical Contamination (other),Confectionary,Denmark (DK),Industry,208
ICID00031230,2017-12-09,Poor or Insufficient Controls,Other Food Product / Mixted,Italy (IT),Border Inspection Posts (BIPs),380
ICID00031231,2017-12-11,Poor or Insufficient Controls,Confectionery,Italy (IT),Border Inspection Posts (BIPs),380
ICID00031233,2017-12-11,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),RASFF,250
ICID00031236,2017-12-11,Migration,Fats & Oils,France (FR),RASFF,250
ICID00031243,2017-12-11,Migration,Fats & Oils,France (FR),RASFF,250
ICID00031245,2017-12-12,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Spain (ES),RASFF,724
ICID00031247,2017-12-12,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Switzerland (CH),Industry,756
ICID00031255,2017-12-13,Pathogenic Micro-Organisms,Herbs and Spices,Israel (IL),Local Authority,376
ICID00031256,2017-12-13,Pathogenic Micro-Organisms,Milk & Milk Products,Romania (RO),Local Authority,642
ICID00031257,2017-12-13,Poor or Insufficient Controls,Fruits & Vegetables,Belgium (BE),Border Inspection Posts (BIPs),56
ICID00031261,2017-12-14,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),Border Inspection Posts (BIPs),764
ICID00031262,2017-12-14,Poor or Insufficient Controls,Cereals & Bakery Products,Italy (IT),Border Inspection Posts (BIPs),380
ICID00031265,2017-12-14,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),Border Inspection Posts (BIPs),764
ICID00031268,2017-12-15,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs),356
ICID00031270,2017-12-14,Mycotoxins,Fruits & Vegetables,Turkey (TR),Port Health Authority (PHA),792
ICID00031278,2017-12-16,Poor or Insufficient Controls,Confectionery,Slovakia (SK),Border Inspection Posts (BIPs),703
ICID00031279,2017-12-18,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force,724
ICID00031282,2017-12-18,Migration,Cereals & Bakery Products,Kazakhstan (KZ),RASFF,398
ICID00031283,2017-12-15,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),Port Health Authority (PHA),764
ICID00031284,2017-12-15,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),Border Inspection Posts (BIPs),764
ICID00031286,2017-12-18,Poor or Insufficient Controls,Fruits & Vegetables,Spain (ES),Border Inspection Posts (BIPs),724
ICID00031288,2017-12-19,Pesticide Residues,Non-Alcoholic Beverages,Taiwan Province of China (TW),Border Inspection Posts (BIPs),158
ICID00031290,2017-12-19,Composition,Food Additives & Flavourings,Uganda (UG),Industry,800
ICID00031294,2017-12-20,Heavy Metals,Food Additives & Flavourings,South Africa (ZA),Industry,710
ICID00031295,2017-12-19,Poor or Insufficient Controls,Non-Alcoholic Beverages,Romania (RO),Police,642
ICID00031298,2017-12-20,Mycotoxins,Nuts / Nut Products / Seeds,China (CN),Border Inspection Posts (BIPs),156
ICID00031300,2017-12-20,Pathogenic Micro-Organisms,Feed Materials,Germany (DE),RASFF,276
ICID00031301,2017-12-18,Composition,Confectionery,Taiwan Province of China (TW),Local Authority,158
ICID00031302,2017-12-21,Mycotoxins,Nuts / Nut Products / Seeds,Islamic Republic of Iran (IR),Border Inspection Posts (BIPs),364
ICID00031304,2017-12-21,Allergens,Meat & Meat Products (other than poultry),Germany (DE),Local Authority,276
ICID00031306,2017-12-21,Clandestine Detection,Animal By-Products,Spain (ES),Home Office / Border Force,724
ICID00031307,2017-12-21,Allergens,Nuts / Nut Products / Seeds,Netherlands (NL),Industry,528
ICID00031309,2017-12-21,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),European Commission (EC),840
ICID00031310,2017-12-21,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Poland (PL),European Commission (EC),616
ICID00031319,2017-12-22,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Slovenia (SI),European Commission (EC),705
ICID00031323,2017-12-22,Pesticide Residues,Fruits & Vegetables,Vietnam (VN),RASFF,704
ICID00031326,2017-12-22,Mycotoxins,Nuts / Nut Products / Seeds,Turkey (TR),Port Health Authority (PHA),792
ICID00031327,2017-12-22,Mycotoxins,Nuts / Nut Products / Seeds,Turkey (TR),Port Health Authority (PHA),792
ICID00031335,2017-12-27,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),RASFF,250
ICID00031341,2017-12-27,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Czech Republic (DO),RASFF,214
ICID00031343,2017-12-29,Poor or Insufficient Controls,Cereals & Bakery Products,Lithuania (LT),Border Inspection Posts (BIPs),440
ICID00031345,2017-12-29,Labelling Absent / Incomplete / Incorrect,Fats & Oils,Italy (IT),Local Authority,380
ICID00031346,2017-12-29,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),Port Health Authority (PHA),764
ICID00031382,2017-12-22,Composition,Alcoholic Beverages,Germany (DE),Local Authority,276
ICID00030962,2017-11-01,Allergens,Fruits & Vegetables,Lithuania (LT),Local Authority,440
ICID00030965,2017-11-01,Clandestine Detection,Milk & Milk Products,France (FR),Home Office / Border Force,250
ICID00030972,2017-11-01,Foreign Bodies,Confectionery,Netherlands (NL),Local Authority,528
ICID00030974,2017-11-01,Clandestine Detection,Confectionery,France (FR),Home Office / Border Force,250
ICID00030977,2017-11-02,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Port Health Authority (PHA),76
ICID00030981,2017-11-02,Radiation,Meat & Meat Products (other than poultry),Vietnam (VN),Port Health Authority (PHA),704
ICID00030982,2017-11-02,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Port Health Authority (PHA),76
ICID00030986,2017-11-02,Foreign Bodies,Confectionery,Denmark (DK),RASFF,208
ICID00030988,2017-11-03,Clandestine Detection,Fruits & Vegetables,Netherlands (NL),Home Office / Border Force,528
ICID00030991,2017-11-03,Chemical Contamination (other),Egg & Egg Products,Poland (PL),RASFF,616
ICID00030995,2017-11-06,Clandestine Detection,Other Food Product / Mixed,Poland (PL),Home Office / Border Force,616
ICID00030996,2017-11-03,Allergens,Confectionery,Germany (DE),EU Member States,276
ICID84289699,2017-11-03,Clandestine Detection,Cereals & Bakery Products,France (FR),Border Inspection Posts (BIPs),250
ICID52258291,2017-11-03,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),Border Inspection Posts (BIPs),764
ICID00030998,2017-11-09,Radiation,Water,Belarus (BY),Local Authority,112
ICID00031004,2017-11-03,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00031005,2017-11-03,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Hungary (HU),Local Authority,348
ICID00031006,2017-11-08,Clandestine Detection,Non-Alcoholic Beverages,Switzerland (CH),Home Office / Border Force,756
ICID00031008,2017-11-08,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force,724
ICID00031011,2017-11-08,Clandestine Detection,Food Contact Materials,Slovakia (SK),Home Office / Border Force,703
ICID00031015,2017-11-10,Clandestine Detection,Fruits & Vegetables,Romania (RO),Home Office / Border Force,642
ICID00031016,2017-11-08,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,Ireland (IE),Local Authority,372
ICID00031018,2017-11-10,Foreign Bodies,Cereals & Bakery Products,Netherlands (NL),RASFF,528
ICID00031019,2017-11-10,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00031020,2017-11-10,Clandestine Detection,Confectionery,Poland (PL),Home Office / Border Force,616
ICID00031021,2017-11-10,Chemical Contamination (other),Fruits & Vegetables,Thailand (TH),RASFF,764
ICID00031027,2017-11-07,Mycotoxins,Feed Premixtures,Argentina (AR),Border Inspection Posts (BIPs),32
ICID00031028,2017-11-07,Poor or Insufficient Controls,Fish & Fish Products,Phillippines (PH),Border Inspection Posts (BIPs),608
ICID00031033,2017-11-10,Clandestine Detection,Fruits & Vegetables,Spain (ES),Local Authority,724
ICID00031034,2017-11-13,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00031038,2017-11-13,Clandestine Detection,Fruits & Vegetables,France (FR),Local Authority,250
ICID00031041,2017-11-14,Composition,Fats & Oils,Ukraine (UA),RASFF,804
ICID00031042,2017-11-14,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00031044,2017-11-14,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00031048,2017-11-15,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00031049,2017-11-15,Poor or Insufficient Controls,Animal By-Products,Portugal (PT),RASFF,620
ICID00031050,2017-11-15,Allergens,Cereals & Bakery Products,Ireland (IE),EU Member States,372
ICID00031051,2017-11-15,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),Border Inspection Posts (BIPs),764
ICID00031052,2017-11-15,Composition,Fruits & Vegetables,China (CN),RASFF,156
ICID00031059,2017-11-17,Clandestine Detection,Cereals & Bakery Products,Netherlands (NL),Home Office / Border Force,528
ICID00031063,2017-11-17,Clandestine Detection,Fruits & Vegetables,Spain (ES),Police,724
ICID00031064,2017-11-17,Poor or Insufficient Controls,Fruits & Vegetables,India (IN),Port Health Authority (PHA),356
ICID00031067,2017-11-17,Pathogenic Micro-Organisms,Fish & Fish Products,Romania (RO),Local Authority,642
ICID00031071,2017-11-18,Clandestine Detection,Confectionary,Hungary (HU),Home Office / Border Force,348
ICID00031072,2017-11-20,Labelling Absent / Incomplete / Incorrect,Non-Alcoholic Beverages,Czech Republic (DO),Administrative Assistance and Cooperation System (AAC),214
ICID00031075,2017-11-20,Allergens,Fruits & Vegetables,Turkey (TR),Border Inspection Posts (BIPs),792
ICID00031076,2017-11-21,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00031077,2017-11-20,Pesticide Residues,Non-Alcoholic Beverages,India (IN),RASFF,356
ICID00031079,2017-11-21,Mycotoxins,Nuts / Nut Products / Seeds,United States (US),Border Inspection Posts (BIPs),840
ICID00031080,2017-11-21,Pathogenic Micro-Organisms,Pet Food,Netherlands (NL),RASFF,528
ICID00031081,2017-11-21,Poor or insufficient controls,Cereals & Bakery Products,China (CN),Border Inspection Posts (BIPs),156
ICID00031082,2017-11-21,Migration,Food Contact Materials,China (CN),RASFF,156
ICID00031084,2017-11-21,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,China (CN),Border Inspection Posts (BIPs),156
ICID00031085,2017-11-21,Allergens,Cereals & Bakery Products,Thailand (TH),Local Authority,764
ICID00031086,2017-11-21,Pesticide Residues,Fruits & Vegetables,Kenya (KE),Border Inspection Posts (BIPs),404
ICID00031087,2017-11-21,Composition,Food Contact Materials,Germany (DE),RASFF,276
ICID00031088,2017-11-21,Pathogenic Micro-Organisms,Confectionery,Canada (CA,Third Country,124
ICID00031089,2017-11-21,Pathogenic Micro-Organisms,Fish & Fish Products,Italy (IT),RASFF,380
ICID00031090,2017-11-21,Migration,Food Contact Materials,China (CN),RASFF,156
ICID00031091,2017-11-21,Allergens,Soups / Broths / Sauces & Condiments,Sweden (SE),Industry,752
ICID00031092,2017-11-21,Poor or Insufficient Controls,Prepared Dishes & Snacks,Turkey (TR),Border Inspection Posts (BIPs),792
ICID00031093,2017-11-21,Poor or Insufficient Controls,Prepared Dishes & Snacks,Turkey (TR),Border Inspection Posts (BIPs),792
ICID00031094,2017-11-22,Mycotoxins,Fruits & Vegetables,Ghana (GH),Local Authority,288
ICID00031098,2017-11-22,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00031099,2017-11-22,Mycotoxins,Nuts / Nut Products / Seeds,Senegal (SN),Port Health Authority (PHA),686
ICID00031100,2017-11-22,Mycotoxins,Fruits & Vegetables,Turkey (TR),Border Inspection Posts (BIPs),792
ICID00031101,2017-11-22,Pesticide Residues,Fruits & Vegetables,China (CN),RASFF,156
ICID00031103,2017-11-23,Pathogenic Micro-Organisms,Confectionery,Canada (CA),Public Health England (PHE),124
ICID00031106,2017-11-23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),Border Inspection Posts (BIPs),764
ICID00031107,2017-11-24,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),Port Health Authority (PHA),764
ICID00031109,2017-11-24,Mycotoxins,Nuts / Nut Products / Seeds,Islamic Republic Of Iran (IR),RASFF,364
ICID00031112,2017-11-24,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Spain (ES),RASFF,724
ICID00031113,2017-11-24,Poor or Insufficient Controls,Confectionery,Switzerland (CH),Border Inspection Posts (BIPs),756
ICID00031114,2017-11-24,Poor or Insufficient Controls,Fruits & Vegetables,Romania (RO),Police,642
ICID00031115,2017-11-24,Poor or Insufficient Controls,Soups / Broths / Sauces & Condiments,Poland (PL),Police,616
ICID00031118,2017-11-27,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),Local Authority,840
ICID00031122,2017-11-27,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force,724
ICID00031124,2017-11-28,Poor or insufficient controls,Dietetic Foods / Food Supplements / Fortified Foods,Spain (ES),Local Authority,724
ICID00031126,2017-11-28,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Poland (PL),RASFF,616
ICID00031127,2017-11-24,Food Additives & Flavourings,Non-Alcoholic Beverages,Israel (IL),Border Inspection Posts (BIPs),376
ICID00031128,2017-11-28,Allergens,Cereals & Bakery Products,United States (US),European Commission (EC),840
ICID00031129,2017-11-28,Pesticide Residues,Fruits & Vegetables,Egypt (EG),Border Inspection Posts (BIPs),818
ICID00031134,2017-11-27,Chemical Contamination (other),Herbs and Spices,Poland (PL),RASFF,616
ICID00031140,2017-11-29,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force,724
ICID00031149,2017-11-29,Chemical Contamination (other),Fats & Oils,Ghana (GH),Border Inspection Posts (BIPs),288
ICID00031153,2017-11-29,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00031155,2017-11-29,Poor Or Insufficient Controls,Other Food Product / Mixed,Italy (IT),Police,380
ICID00031158,2017-11-29,Poor or Insufficient Controls,Fruits & Vegetables,Spain (ES),Border Inspection Posts (BIPs),724
ICID00031159,2017-11-29,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Spain (ES),RASFF,724
ICID00031161,2017-11-30,Allergens,Cereals & Bakery Products,Italy (IT),Local Authority,380
ICID00031164,2017-11-30,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),Slovakia (SK),Local Authority,703
ICID00031165,2017-11-30,Poor Or Insufficient Controls,Cofectionery,Poland (PL),Police,616
ICID00031186,2017-11-07,Chemical Contamination (other),Soups / Broths / Sauces & Condiments,Phillippines (PH),RASFF,608
ICID00031215,2017-11-25,Clandestine Detection,Fruits & Vegetables,Egypt (EG),Border Inspection Posts (BIPs),818
ICID00031217,2017-11-26,Clandestine Detection,Confectionery,Poland (PL),Home Office / Border Force,616
ICID00031218,2017-11-26,Clandestine Detection,Confectionery,Germany (DE),Home Office / Border Force,276
ICID00031220,2017-11-30,Packaging defective / incorrect,Meat & Meat Products (other than poultry),Slovakia (SK),Local Authority,703
ICID00030756,2017-10-02,Clandestine Detection,Cereals & Bakery Products,Germany (DE),Border Inspection Posts (BIPs),276
ICID00030758,2017-10-02,Clandestine Detection,Confectionery,France (FR),Home Office / Border Force,250
ICID00030759,2017-10-02,Parasitic Infestation,Fish & Fish Products,Ghana (GH),Port Health Authority (PHA),288
ICID00030761,2017-10-02,Poor or Insufficient Controls,Cereals & Bakery Products,China (CN),Port Health Authority (PHA),156
ICID00030764,2017-10-02,Labelling Absent / Incomplete / Incorrect,Confectionery,Turkey (TR),EU Member States,792
ICID00030768,2017-10-03,Poor or Insufficient Controls,Fruits & Vegetables,Brazil (BR),Local Authority,76
ICID00030769,2017-10-03,Pesticide Residues,Fruits & Vegetables,China (CN),RASFF,156
ICID00030770,2017-10-04,Clandestine Detection,Non-Alcoholic Beverages,France (FR),Home Office / Border Force,250
ICID00030771,2017-10-04,Clandestine Detection,Non-Alcoholic Beverages,France (FR),Home Office / Border Force,250
ICID00030772,2017-10-03,Clandestine Detection,Milk & Milk Products,France (FR),Border Inspection Posts (BIPs),250
ICID00030773,2017-10-04,Allergens,Meat and Meat Products (other than poultry),Germany (DE),Industry,276
ICID00030774,2017-10-04,Allergens,Other Food Product / Mixed,United States (US),Local Authority,840
ICID00030775,2017-10-04,Allergens,Cereals & Bakery Products,United States (US),Local Authority,840
ICID00030776,2017-10-04,Pathogenic Micro-Organisms,Pet Food,Argentina (AR),RASFF,32
ICID00030779,2017-10-04,Pathogenic Micro-Organisms,Herbs and Spices,India (IN),Industry,356
ICID00030780,2017-10-04,Pathogenic Micro-Organisms,Herbs and Spices,India (IN),Industry,356
ICID00030783,2017-10-04,Pathogenic Micro-Organisms,Herbs and Spices,Thailand (TH),Local Authority,764
ICID00030784,2017-10-04,Poor or Insufficient Controls,Milk & Milk Products,Thailand (TH),Border Inspection Posts (BIPs),764
ICID00030789,2017-10-05,Pathogenic Micro-Organisms,Herbs & Spices,India (IN),RASFF,356
ICID00030792,2017-10-05,Allergens,Poultry Meat & Poultry Meat Products,Netherlands (NL),RASFF,528
ICID00030795,2017-10-05,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Luxembourg (LU),European Commission (EC),442
ICID00030798,2017-10-05,Poor or Insufficient Controls,Fish & Fish Products,Nigeria (NG),Border Inspection Posts (BIPs),566
ICID00030800,2017-10-06,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),EU Member States,764
ICID00030804,2017-10-06,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,Nigeria (NG),Border Inspection Posts (BIPs),566
ICID00030810,2017-10-08,Clandestine Detection,Water,Ireland (IE),Home Office / Border Force,372
ICID00030811,2017-10-06,Pesticide Residues,Fruits & Vegetables,Thailand (TH),FSA Survey,764
ICID00030813,2017-10-09,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00030817,2017-10-10,Poor or Insufficient Controls,Fruits & Vegetables,Nigeria (NG),Border Inspection Posts (BIPs),566
ICID00030820,2017-10-10,Poor or Insufficient Controls,Fruits & Vegetables,India (IN),Local Authority,356
ICID00030822,2017-10-10,Poor or Insufficient Controls,Fish & Fish Products,Senegal (SN),Border Inspection Posts (BIPs),686
ICID00030823,2017-10-10,Allergens,Other Food Product / Mixed,France (FR),RASFF,250
ICID00030828,2017-10-10,Pathogenic Micro-Organisms,Milk & Milk Products,Ireland (IE),RASFF,372
ICID00030829,2017-10-05,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Luxembourg (LU),European Commission (EC),442
ICID00030833,2017-10-10,Poor or Insufficient Controls,Fruits & Vegetables,Nigeria (NG),Border Inspection Posts (BIPs),566
ICID00030834,2017-10-11,Clandestine Detection,Milk & Milk Products,Germany (DE),Home Office / Border Force,276
ICID00030837,2017-10-12,Clandestine Detection,Cereals & Bakery Products,Czech Republic (DO),Home Office / Border Force,214
ICID00030838,2017-10-12,Allergens,Fruits & Vegetables,Turkey (TR),Border Inspection Posts (BIPs),792
ICID00030841,2017-10-12,Clandestine Detection,Milk & Milk Products,Belgium (BE),Home Office / Border Force,56
ICID00030842,2017-10-12,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Luxembourg (LU),Administrative Assistance and Cooperation System (AAC),442
ICID00030845,2017-10-11,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Lithuania (LT),European Commission (EC),440
ICID00030850,2017-10-13,Novel Food,Fruits & Vegetables,United States (US),Third Country,840
ICID00030851,2017-10-13,Clandestine Detection,Milk & Milk Products,France (FR),Border Inspection Posts (BIPs),250
ICID00030853,2017-10-13,Residues of Veterinary Medicinal Products,Poultry Meat & Poultry Meat Products,Belgium (BE),RASFF,56
ICID00030854,2017-10-13,Clandestine Detection,Milk & Milk Products,France (FR),Home Office / Border Force,250
ICID00030855,2017-10-13,Clandestine Detection,Milk & Milk Products,France (FR),Police,250
ICID00030857,2017-10-14,Clandestine Detection,Fruits & Vegetables,France (FR),Police,250
