x,y,value
Sushi Bars,Hot Pot,0.206031779787533
Cheese Shops,Gelato,0.205803841566759
Gelato,Cheese Shops,0.205803841566759
Mediterranean,Patisserie/Cake Shop,0.205742725907134
Patisserie/Cake Shop,Mediterranean,0.205742725907134
Beer Bar,Desserts,0.205395404055566
Desserts,Beer Bar,0.205395404055566
Caribbean,Ethnic Food,0.204431022035748
Ethnic Food,Caribbean,0.204431022035748
Food Court,Shaved Ice,0.203648730244189
Shaved Ice,Food Court,0.203648730244189
Italian,Patisserie/Cake Shop,0.203440954257516
Patisserie/Cake Shop,Italian,0.203440954257516
Patisserie/Cake Shop,Shaved Ice,0.202302032046195
Shaved Ice,Patisserie/Cake Shop,0.202302032046195
Fast Food,Indonesian,0.201964198545898
Indonesian,Fast Food,0.201964198545898
Hot Pot,Wine Bars,0.201277363959449
Wine Bars,Hot Pot,0.201277363959449
Hot Pot,Italian,0.199784041934964
Italian,Hot Pot,0.199784041934964
Arabian,Latin American,0.19852990921442
Latin American,Arabian,0.19852990921442
Caribbean,Gelato,0.197289595446404
Gelato,Caribbean,0.197289595446404
Fast Food,Wine Bars,0.196344896759543
Wine Bars,Fast Food,0.196344896759543
Breweries,Ethnic Food,0.196297011070576
Ethnic Food,Breweries,0.196297011070576
Falafel,Fast Food,0.195825270131512
Fast Food,Falafel,0.195825270131512
Beer Bar,Soup,0.192205800221428
Soup,Beer Bar,0.192205800221428
Cheese Shops,Indonesian,0.191660958878268
Indonesian,Cheese Shops,0.191660958878268
Indonesian,Latin American,0.191541535761606
Latin American,Indonesian,0.191541535761606
Arabian,Specialty Food,0.187727622525589
Specialty Food,Arabian,0.187727622525589
Spanish,Sushi Bars,0.187438471897944
Sushi Bars,Spanish,0.187438471897944
Italian,Salad,0.187335684101151
Salad,Italian,0.187335684101151
Cuban,Piano Bars,0.187330584361106
Piano Bars,Cuban,0.187330584361106
Gelato,Indonesian,0.184785316711102
Indonesian,Gelato,0.184785316711102
Piano Bars,Spanish,0.184354329440035
Spanish,Piano Bars,0.184354329440035
Arabian,Hot Pot,0.184299452649551
Hot Pot,Arabian,0.184299452649551
Arabian,Desserts,0.184030875118155
Desserts,Arabian,0.184030875118155
Arabian,Cheese Shops,0.183980152631839
Cheese Shops,Arabian,0.183980152631839
Mediterranean,Specialty Food,0.183909984371513
Specialty Food,Mediterranean,0.183909984371513
Cheese Shops,Fast Food,0.183749268544909
Fast Food,Cheese Shops,0.183749268544909
Desserts,Soup,0.18097142143614
Soup,Desserts,0.18097142143614
Italian,Soup,0.180352174563529
Soup,Italian,0.180352174563529
Pizza,Pubs,0.178942183350887
Pubs,Pizza,0.178942183350887
Mediterranean,Shaved Ice,0.178281799046439
Shaved Ice,Mediterranean,0.178281799046439
Food Delivery Services,Spanish,0.177506279177346
Spanish,Food Delivery Services,0.177506279177346
Cafes,Caribbean,0.177057981938239
Caribbean,Cafes,0.177057981938239
Arabian,Pubs,0.176733934617444
Pubs,Arabian,0.176733934617444
Ethnic Food,Soup,0.176218557988257
Soup,Ethnic Food,0.176218557988257
Delis,Gelato,0.175914511620717
Gelato,Delis,0.175914511620717
Cheese Shops,Pizza,0.175625327167979
Pizza,Cheese Shops,0.175625327167979
Cheese Shops,Food Delivery Services,0.175546561833613
Food Delivery Services,Cheese Shops,0.175546561833613
Fast Food,Mediterranean,0.174631622846473
Mediterranean,Fast Food,0.174631622846473
Cuban,Pizza,0.174534686657233
Pizza,Cuban,0.174534686657233
