time,lat,lng,height
2015-08-20 03:58:53.723,35.010948,32.510637,99.69999694824219
2015-08-20 03:58:58.841,35.010988,32.510557,98.80000305175781
2015-08-20 03:58:59.753,35.010993,32.510539,97.80000305175781
2015-08-20 03:59:04.834,35.011028,32.510462,98.19999694824219
2015-08-20 03:59:05.760,35.011037,32.510448,98.0999984741211
2015-08-20 03:59:10.877,35.011071,32.510369,98.0
2015-08-20 03:59:11.758,35.011076,32.510353,99.30000305175781
2015-08-20 03:59:16.821,35.011083,32.510278,100.19999694824219
2015-08-20 03:59:17.799,35.011083,32.510262,100.0
2015-08-20 03:59:22.869,35.011083,32.510184,100.5999984741211
2015-08-20 03:59:23.773,35.011081,32.510168,101.0
2015-08-20 03:59:29.840,35.011108,32.510085,103.69999694824219
2015-08-20 03:59:30.719,35.011108,32.510071,103.19999694824219
2015-08-20 03:59:35.811,35.011101,32.509998,104.0
2015-08-20 03:59:36.722,35.011102,32.50998,105.30000305175781
2015-08-20 03:59:41.823,35.011123,32.509892,109.5999984741211
2015-08-20 03:59:42.900,35.011126,32.509875,109.80000305175781
2015-08-20 03:59:47.759,35.011142,32.509797,112.30000305175781
2015-08-20 03:59:48.718,35.011142,32.509782,112.80000305175781
2015-08-20 03:59:54.855,35.011128,32.509693,110.80000305175781
2015-08-20 03:59:55.709,35.01113,32.509679,110.4000015258789
2015-08-20 04:00:02.764,35.011152,32.509592,109.19999694824219
2015-08-20 04:00:03.761,35.011153,32.509576,108.4000015258789
2015-08-20 04:00:08.786,35.011162,32.509491,109.80000305175781
2015-08-20 04:00:09.727,35.011171,32.509474,110.0999984741211
2015-08-20 04:00:13.815,35.011228,32.50941,111.5999984741211
2015-08-20 04:00:14.721,35.011246,32.509395,111.80000305175781
2015-08-20 04:00:18.879,35.011324,32.509335,111.0999984741211
2015-08-20 04:00:19.739,35.011348,32.509325,111.0
2015-08-20 04:00:22.758,35.011425,32.50931,110.30000305175781
2015-08-20 04:00:26.765,35.011497,32.509363,109.4000015258789
2015-08-20 04:00:31.754,35.011568,32.509427,109.5
2015-08-20 04:00:32.724,35.01158,32.509434,109.4000015258789
2015-08-20 04:00:38.798,35.01168,32.509408,108.30000305175781
2015-08-20 04:00:39.732,35.011698,32.509398,108.30000305175781
2015-08-20 04:00:44.912,35.011764,32.509339,106.5999984741211
2015-08-20 04:00:45.722,35.011776,32.509328,106.69999694824219
2015-08-20 04:00:50.955,35.011845,32.509276,103.0
2015-08-20 04:00:51.724,35.011857,32.509261,102.19999694824219
2015-08-20 04:00:56.837,35.011906,32.509182,100.9000015258789
2015-08-20 04:00:57.790,35.011919,32.509167,100.69999694824219
2015-08-20 04:01:02.893,35.011982,32.509097,100.5
2015-08-20 04:01:03.767,35.011995,32.509082,100.0999984741211
2015-08-20 04:01:07.773,35.012046,32.509023,98.69999694824219
2015-08-20 04:01:08.723,35.01206,32.509008,98.4000015258789
2015-08-20 04:01:12.892,35.012118,32.508949,98.19999694824219
