channel_title,trending_count,views,subscribers,classification
CBS,2,254930,927345.0,Traditional Media
CBS Chicago,1,9489,0.0,Traditional Media
CBS Evening News,3,91427,160469.66666666666,Traditional Media
CBS Films,1,1786869,28550.0,Movie Trailer
CBS Los Angeles,8,121245,91786.0,Traditional Media
CBS Miami,2,147753,0.0,Traditional Media
CBS New York,2,258824,0.0,Traditional Media
CBS News,18,187659,599310.0,Traditional Media
CBS Philly,1,12621,0.0,Traditional Media
CBS Sunday Morning,3,45951,169723.0,Traditional Media
CBS This Morning,17,283484,299361.4285714286,Traditional Media
CFL Insider,1,29733,1558.0,Traditional Media
CGP Grey,2,665368,3342019.0,Youtuber
CHRIS-RS,1,701821,151659.0,Youtuber
CHauserable,1,1807,4248.0,Conventional Viral
CIRCUITBEARD,1,3114,221.0,Conventional Viral
CMAVEVO,1,46746,66329.0,Music
CMT,1,3003,116118.0,Traditional Media
CNBC,7,109199,230748.0,Traditional Media
CNET,6,104919,1612248.0,Traditional Media
CNLohr,1,5224,30249.0,Youtuber
CNN,52,430132,3095131.0,Traditional Media
CNNMoney,2,237086,339355.0,Traditional Media
COVERGIRL,1,5193,466312.0,Traditional Media
CS Dojo,1,124380,303614.0,Youtuber
CYNVEVO,1,28983,3943.0,Music
CalumScottVEVO,5,499861,1081379.0,Music
Calvin Klein,2,4282939,145441.0,Commercial
CalvinHarrisVEVO,3,2108060,12799873.0,Music
Cam'ron,1,664666,23765.0,Music
CamVEVO,1,41441,128243.0,Music
Camila Cabello,3,455339,6358719.0,Music
CamilaCabelloVEVO,6,3838989,6358719.0,Music
Campari,1,99674,11480.0,Commercial
Campo Santo Productions,1,35817,9848.0,Movie Trailer
Canada Soccer,1,41029,13446.0,Traditional Media
Candide Thovex,1,388810,263539.0,Youtuber
Capital FM,2,714905,2137177.0,Music
CaptainDisillusion,2,204170,660643.0,Youtuber
Car Commercials of the Past,1,4631,266.0,Youtuber
Car Throttle,1,235077,1956651.0,Youtuber
Caravan Carolyn,1,23795,28857.0,Youtuber
Cardi B,2,4223448,2174323.0,Youtuber
Cards Against Humanity,1,295217,17212.0,Commercial
Carla Resendiz,1,349459,1514.0,Conventional Viral
Carlos Campos,1,3551,4.0,Conventional Viral
Carly and Erin,1,79099,342727.0,Youtuber
Cartoon Hangover,1,64714,2027927.0,Traditional Media
Casey Holmes,5,193391,1615706.0,Youtuber
CaseyNeistat,12,1602608,9086142.0,Youtuber
Caspar,1,208892,7585114.0,Youtuber
Casually Explained,2,1173714,1583040.0,Youtuber
Cat Man Chris,2,217269,164976.0,Youtuber
CatCreature,3,60636,328706.0,Youtuber
CatPusic,2,312910,294333.0,Youtuber
Caterham Cars,1,4850,3529.0,Conventional Viral
Caters Clips,1,90454,247379.0,Commercial
Chad Kroeger,1,412812,10857.0,Music
ChainsmokersVEVO,5,1308915,12481717.0,Music
ChangeofplanZ,1,345571,2795.0,Music
Channel 4,1,22231,573483.0,Traditional Media
Channel Awesome,2,395414,1074789.0,Youtuber
Channon Rose Vlogs,1,110470,279844.0,Youtuber
Chappell Roan,1,23755,6627.0,Music
Charles Chan,1,12515,270.0,Conventional Viral
Charlie Puth,9,1195792,10479360.0,Music
Check It Out,1,894787,16925.0,Youtuber
Chevrolet,1,57915,586473.0,Commercial
Chicago Sun-Times,2,37755,11133.0,Traditional Media
Chili Klaus,1,572170,86311.0,Youtuber
Chilly Willy,1,402547,1333.0,Traditional Media
Chloe x Halle,2,71609,862157.0,Music
ChloexHalleVEVO,2,78595,37011.0,Music
Choir! Choir! Choir!,1,72339,85317.0,Music
Chris Hadfield's Rare Earth,1,41073,507181.0,Youtuber
Chris Reinacher,1,42826,531509.0,Youtuber
Chris Rosa,1,2729389,2189.0,Conventional Viral
Chris Smoove,3,511775,3975155.0,Youtuber
Chris Stuckmann,4,473456,1251787.0,Youtuber
Chris Sturgeon,1,3438,48.0,Conventional Viral
Chris Turner,1,221067,348.0,Traditional Media
Chris and Jack,1,108618,73378.0,Youtuber
ChrisBrownVEVO,1,400949,12484186.0,Music
ChrisStapletonVEVO,4,121311,553978.0,Music
ChrisYoungVEVO,1,76832,503544.0,Music
Chriselle Lim,1,31765,754014.0,Youtuber
Christen Dominique,5,301657,3688304.0,Youtuber
Christine Sydelko,1,455870,1330133.0,Youtuber
Christopher Davis,1,66943,17.0,Conventional Viral
Chubbyemu,2,494898,518118.0,Youtuber
ChvrchesVEVO,2,157452,235681.0,Music
CinemaSins,14,1400726,7579253.0,Youtuber
Circus HalliGalli,1,175591,749228.0,Traditional Media
CityNews Toronto,1,34133,24942.0,Traditional Media
Claire Marshall,1,153053,941387.0,Youtuber
Clark Zhu,1,3888,918.0,Movie Trailer
Cleveland Browns,1,1164,15178.0,Traditional Media
Cleveland Cavaliers on cleveland.com,1,27943,23612.0,Traditional Media
Clevver News,7,229996,3909987.0,Traditional Media
Clevver Style,5,329917,2603964.0,Youtuber
Clicknetwork,1,65823,1148769.0,Traditional Media
Cloth Map,1,72789,59090.0,Conventional Viral
ClovesVEVO,1,30260,82296.0,Music
