Position,"Track Name",Artist,Streams,URL
86,"Everybody Dies In Their Nightmares",XXXTENTACION,802144,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
87,"I Fall Apart","Post Malone",795625,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
88,"Thunderclouds with Sia, Diplo & Labrinth",Sia,790932,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
89,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,788457,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
90,"I Like Me Better",Lauv,784309,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
91,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,771714,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
92,YOSEMITE,"Travis Scott",771345,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
93,"Por Perro","Sebastian Yatra",771049,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
94,"Look At Me!",XXXTENTACION,756237,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
95,"Side Effects","The Chainsmokers",754982,https://open.spotify.com/track/5yNEdBlZMxpcVtGKz5NFk5
96,"Taking A Walk","Trippie Redd",750486,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
97,"Love Lies (with Normani)",Khalid,743731,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
98,"Tie Me Down (with Elley Duhé)",Gryffin,743207,https://open.spotify.com/track/4QVS8YCpK71R4FsxSMCjhP
99,"XO TOUR Llif3","Lil Uzi Vert",735615,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
100,"Dura - Remix","Daddy Yankee",728250,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
101,"Mi Cama - Remix","Karol G",725450,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
102,"Madura (feat. Bad Bunny)",Cosculluela,716173,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
103,"Mo Bamba","Sheck Wes",714271,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
104,"Estamos Bien","Bad Bunny",713491,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
105,"Me Dijeron",Ozuna,712344,https://open.spotify.com/track/17UUYZ290omPaJY4wKeyHh
106,"High On Life (feat. Bonn)","Martin Garrix",712246,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
107,Mine,Bazzi,709064,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
108,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",706705,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
109,Flames,"David Guetta",705613,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
110,Euphoria,BTS,697485,https://open.spotify.com/track/3p6hnejEQYXkiTO1lAzVc0
111,Happier,"Ed Sheeran",670721,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
112,"I'm Upset",Drake,664079,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
113,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,662462,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
114,"BUTTERFLY EFFECT","Travis Scott",659094,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
115,Hipócrita,"Anuel Aa",657243,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
116,"Quiere Beber","Anuel Aa",651910,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
117,"Toda - Remix","Alex Rose",650873,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
118,"Too Good At Goodbyes","Sam Smith",649281,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
119,"W O R K I N M E",Quavo,648924,https://open.spotify.com/track/33tNYw9oMtSkGe27NpgS64
120,R.E.M,"Ariana Grande",638314,https://open.spotify.com/track/1xWH8zYtDeS9mW1JJG23VZ
121,"In My Blood","Shawn Mendes",636037,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
122,OTW,Khalid,630801,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
123,"I'm Yours","Jason Mraz",628673,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
124,Congratulations,"Post Malone",621726,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
125,Closer,"The Chainsmokers",621631,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
126,Aura,Ozuna,620366,https://open.spotify.com/track/1AVu7Kc2MRrLfOG1RCEf07
127,"I'm Fine",BTS,619972,https://open.spotify.com/track/0EQMrxdeiBhry9JCxskko3
128,Africa,Toto,617338,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
129,"Say You Won't Let Go","James Arthur",616170,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
