MMSI, LAT, LON, SPEED, COURSE, STATUS, TIMESTAMP
564215000,1.306023,103.727700,0,94,12,2013-11-20T16:11:00
525017088,-5.906778,105.915500,62,296,1,2013-11-20T16:12:00
354211000,1.218167,103.646700,0,252,1,2013-11-20T16:08:00
566218000,1.286500,103.757200,1,61,0,2013-11-20T16:10:00
445686000,1.310422,103.726200,0,324,99,2013-11-20T16:09:00
304509000,10.305770,123.919800,0,82,0,2013-11-20T16:10:00
533014400,1.231612,103.796100,1,199,0,2013-11-20T16:08:00
311044800,1.259060,103.878900,1,13,1,2013-11-20T16:10:00
667003235,1.217248,103.619700,0,44,0,2013-11-20T15:38:00
1450112,-6.835967,132.881700,0,0,14,2013-11-20T15:36:00
525015603,-5.930935,105.995600,0,0,0,2013-11-20T16:11:00
563013850,1.231530,103.894000,19,351,0,2013-11-20T16:10:00
563014910,1.306330,103.727900,0,0,99,2013-11-20T16:11:00
309562000,1.128967,103.570100,0,180,3,2013-11-20T16:11:00
477381000,1.283450,103.953800,0,262,1,2013-11-20T16:09:00
565127000,1.268850,103.898400,0,55,1,2013-11-20T16:07:00
305213000,1.261793,103.838700,0,328,5,2013-11-20T16:01:00
538004655,1.279792,103.966500,1,278,1,2013-11-20T15:57:00
563010540,1.306110,103.728200,0,35,99,2013-11-20T16:10:00
305823000,8.007960,98.464700,1,199,1,2013-11-20T16:11:00
538003729,10.538370,107.028400,0,236,5,2013-11-20T16:10:00
566011000,1.268033,103.937500,1,247,0,2013-11-20T15:55:00
525005050,1.230478,103.775600,0,260,5,2013-11-20T15:59:00
572412000,1.299130,103.756200,0,51,0,2013-11-20T16:11:00
352979000,1.237892,104.051200,99,82,0,2013-11-20T15:14:00
563026040,1.306627,103.727000,0,170,99,2013-11-20T16:05:00
525019409,-5.935342,105.877200,100,177,0,2013-11-20T16:11:00
636014600,1.241372,103.912900,1,261,1,2013-11-20T16:09:00
470963000,6.233252,95.469630,200,290,0,2013-11-20T15:37:00
533951000,1.266007,103.560000,0,35,0,2013-11-20T15:39:00
525015374,-5.947117,105.985400,1,150,1,2013-11-20T16:11:00
565488000,-12.492000,130.883000,0,346,5,2013-11-20T16:11:00
566718000,1.299298,103.696200,0,17,0,2013-11-20T16:11:00
244112000,1.226472,103.690300,93,228,0,2013-11-20T16:10:00
563021050,1.219000,103.828200,33,302,0,2013-11-20T16:02:00
249290000,1.234833,103.986100,71,75,0,2013-11-20T16:11:00
354778000,1.278188,103.753900,2,10,5,2013-11-20T16:11:00
353913000,5.420279,100.346100,0,174,5,2013-11-20T16:10:00
529226000,1.310105,103.726500,0,93,99,2013-11-20T16:10:00
373500000,10.409300,107.034000,115,154,0,2013-11-20T15:24:00
353261000,1.366483,103.544100,1,331,5,2013-11-20T16:11:00
525022093,1.165000,103.998200,0,38,8,2013-11-20T16:08:00
565006000,1.193442,103.749300,1,16,1,2013-11-20T16:08:00
457552000,1.278360,103.892500,1,136,1,2013-11-20T15:30:00
565911112,1.233262,103.652200,60,106,5,2013-11-20T16:09:00
563047000,5.419000,100.360400,0,82,0,2013-11-20T16:08:00
529499000,1.310225,103.726400,1,217,99,2013-11-20T16:11:00
525019513,-5.953227,105.986100,2,326,8,2013-11-20T16:11:00
525010062,-3.286200,114.564600,0,288,0,2013-11-20T16:09:00
373123000,1.081333,103.896000,0,287,5,2013-11-20T15:54:00
372348000,1.291850,103.687800,0,44,5,2013-11-20T15:55:00
367310520,-12.491670,130.889800,0,185,15,2013-11-20T16:12:00
533180002,1.221987,103.581700,3,193,0,2013-11-20T16:08:00
538003845,1.263842,103.911100,1,292,1,2013-11-20T16:04:00
525019627,-5.992950,105.934900,0,105,0,2013-11-20T16:10:00
538005002,1.268007,103.874400,0,207,1,2013-11-20T16:03:00
477207500,1.353418,103.548200,0,257,5,2013-11-20T16:08:00
566212000,1.220000,103.636000,0,15,0,2013-11-20T16:09:00
311040600,1.276762,103.947500,1,334,1,2013-11-20T15:49:00
312254000,1.251770,103.871600,77,70,99,2013-11-20T15:32:00
477207200,-3.327588,114.557800,0,203,0,2013-11-20T16:11:00
538002718,5.409596,100.352000,2,339,1,2013-11-20T15:47:00
525015314,-5.948747,105.993100,2,115,0,2013-11-20T16:10:00
525005177,-5.949713,105.983800,2,100,0,2013-11-20T16:10:00
566433000,1.247918,103.918700,1,25,1,2013-11-20T16:11:00
258528000,5.921300,114.327500,3,157,3,2013-11-20T16:00:00
563158000,1.286300,103.657200,66,186,0,2013-11-20T16:11:00
457900015,10.298350,123.911700,0,0,0,2013-11-20T16:11:00
525019589,-5.872950,106.019300,0,163,1,2013-11-20T15:51:00
525019074,-6.004432,105.938900,33,293,8,2013-11-20T16:12:00
636090815,5.365403,100.365000,0,39,5,2013-11-20T15:32:00
563001860,1.223210,103.653300,62,121,8,2013-11-20T16:11:00
563003940,1.281800,103.750500,0,130,5,2013-11-20T16:06:00
525003175,-8.513160,115.512900,1,34,5,2013-11-20T15:32:00
370433000,6.210100,95.625120,142,106,0,2013-11-20T16:12:00
566000000,1.262057,103.881600,1,21,1,2013-11-20T16:06:00
567317000,1.230983,103.972900,151,76,0,2013-11-20T15:16:00
525021054,-5.965700,105.980100,0,294,0,2013-11-20T16:08:00
538090125,1.273367,103.894900,1,146,1,2013-11-20T16:08:00
372948000,1.260827,103.876300,1,15,1,2013-11-20T16:09:00
525015867,-8.599200,115.626200,91,108,0,2013-11-20T15:22:00
564334000,1.195358,103.747300,0,349,8,2013-11-20T16:10:00
373641000,1.100983,103.632000,1,195,5,2013-11-20T16:01:00
356931000,1.277350,103.776000,0,104,5,2013-11-20T16:09:00
563021420,1.269997,103.856600,0,183,99,2013-11-20T16:01:00
563414000,1.146833,103.586400,1,266,1,2013-11-20T16:00:00
548274100,10.235380,123.864500,0,282,0,2013-11-20T16:11:00
636090713,1.269758,103.771300,1,252,5,2013-11-20T16:10:00
548051200,6.913160,122.043200,1,304,0,2013-11-20T16:09:00
563003730,1.213400,103.863700,36,64,15,2013-11-20T15:55:00
5030206,-12.389330,130.630900,0,0,14,2013-11-20T16:10:00
563002510,1.213815,103.730500,2,231,0,2013-11-20T16:11:00
566540000,1.251073,103.886900,1,185,0,2013-11-20T16:10:00
995031028,-12.479550,130.855300,0,0,98,2013-11-20T16:05:00
413520170,1.296817,103.733300,0,180,5,2013-11-20T16:10:00
563003460,1.243805,103.691000,0,308,5,2013-11-20T16:11:00
563022430,1.301488,103.756200,0,360,99,2013-11-20T16:05:00
995031025,-12.417460,130.782900,0,0,98,2013-11-20T15:45:00
566661000,1.250197,103.688800,0,312,5,2013-11-20T16:05:00
419531000,1.233133,103.973300,94,85,4,2013-11-20T15:56:00
232150000,1.191000,103.693700,0,0,1,2013-11-20T16:09:00
564169000,1.229497,103.950200,132,72,0,2013-11-20T15:14:00
563021070,1.291333,103.760500,1,289,15,2013-11-20T16:09:00
220123000,1.280750,103.736300,0,242,5,2013-11-20T16:06:00
566333000,1.226912,103.582000,2,202,3,2013-11-20T16:11:00
563625000,1.280833,103.768900,8,122,0,2013-11-20T16:00:00
538005238,1.268877,103.906800,0,358,1,2013-11-20T16:12:00
667006000,10.575840,106.781000,2,108,0,2013-11-20T16:11:00
525019408,-5.936067,105.996600,70,6,0,2013-11-20T16:12:00
477144800,1.265667,103.841500,1,76,5,2013-11-20T16:07:00
566055000,5.708492,94.805440,133,43,0,2013-11-20T15:37:00
525017090,-5.957040,105.986200,0,324,1,2013-11-20T16:12:00
356229000,5.374003,100.364100,1,187,0,2013-11-20T15:25:00
372095000,1.227600,103.646400,0,220,1,2013-11-20T16:06:00
566339000,1.284520,103.770100,0,283,0,2013-11-20T16:11:00
503588200,-12.494260,130.889800,9,137,99,2013-11-20T16:12:00
525016696,-6.018525,105.956300,1,223,15,2013-11-20T16:12:00
574446000,10.785170,106.712900,0,114,5,2013-11-20T16:07:00
574002050,6.171183,95.131770,120,275,0,2013-11-20T16:09:00
564417000,1.306467,103.651700,0,299,5,2013-11-20T16:01:00
636092271,1.272342,103.763500,0,243,5,2013-11-20T16:10:00
