Oid,New_house,New_renter,Previous_renter,House_value_divided_by_wealth,Rent_divided _by_welth,Income_divided_by_wealth,Respoders_networth,Responder_age,white,married,kids,Location
391,0,0,0,5.015,0,0.385,63292.4,37,1,1,5,MW
392,0,0,0,1.786,0,0.56,62254.8,36,0,1,1,South
393,0,0,0,1.21,0,0.386,127103.6,49,1,1,1,West
394,0,0,1,0,0.343,0.616,31127.4,39,1,1,1,South
395,0,0,0,3.07,0,0.446,99089,54,1,1,0,MW
396,0,0,0,1.292,0,0.165,179501.5,46,1,0,1,MW
397,0,0,0,0.388,0,0.311,45134.8,50,1,1,0,West
398,0,0,1,0,0.029,0.215,122434.5,57,1,0,0,South
399,0,0,0,1.737,0,0.483,72581.9,34,1,1,2,West
400,0,0,0,0.602,0,0.231,168088.1,32,1,1,2,South
401,0,0,0,0.429,0,0.691,17638.9,65,1,1,0,South
402,0,0,0,2.344,0,0.406,107908.4,37,1,1,2,South
403,0,0,0,0.818,0,0.193,95457.4,66,1,1,0,South
404,0,0,1,0.789,0,0.737,20440.3,42,1,1,2,South
405,0,0,0,2.022,0,0.437,39220.5,40,1,1,2,South
406,0,1,1,0,0.616,0.65,19921.5,35,1,1,2,MW
407,0,0,0,2.4,0,0.468,59142.1,46,0,1,0,West
408,1,0,1,0.467,0,0.364,186764.5,58,1,1,0,South
409,0,0,0,0.457,0,0.764,22826.8,39,1,1,2,West
410,0,0,1,0,0.32,0.706,21789.2,45,1,1,6,West
411,0,0,1,0,0.459,0.664,18676.5,55,1,1,0,West
412,0,0,0,0.084,0,0.664,19299,43,1,1,2,West
413,0,0,0,0.023,0,0.34,183651.8,37,1,1,3,South
414,0,0,0,0.685,0,0.242,65886.4,36,1,0,0,NE
415,0,0,0,3.306,0,0.347,164975.3,38,1,1,2,NE
